GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US120110304022,120110304022,"Block Group 2, Census Tract 304.02, Broward County, Florida",9081,6005
1500000US120110305001,120110305001,"Block Group 1, Census Tract 305, Broward County, Florida",25324,3224
1500000US120110305002,120110305002,"Block Group 2, Census Tract 305, Broward County, Florida",29628,5292
1500000US120110306001,120110306001,"Block Group 1, Census Tract 306, Broward County, Florida",27639,8900
1500000US120110306002,120110306002,"Block Group 2, Census Tract 306, Broward County, Florida",33656,3833
1500000US120110306003,120110306003,"Block Group 3, Census Tract 306, Broward County, Florida",-,**
1500000US120110307021,120110307021,"Block Group 1, Census Tract 307.02, Broward County, Florida",63359,10010
1500000US120110307022,120110307022,"Block Group 2, Census Tract 307.02, Broward County, Florida",70875,30452
1500000US120110307031,120110307031,"Block Group 1, Census Tract 307.03, Broward County, Florida",44635,17589
1500000US120110307032,120110307032,"Block Group 2, Census Tract 307.03, Broward County, Florida",47143,9157
1500000US120110307041,120110307041,"Block Group 1, Census Tract 307.04, Broward County, Florida",45388,10078
1500000US120110307042,120110307042,"Block Group 2, Census Tract 307.04, Broward County, Florida",53464,10889
1500000US120110307043,120110307043,"Block Group 3, Census Tract 307.04, Broward County, Florida",23179,4289
1500000US120110307051,120110307051,"Block Group 1, Census Tract 307.05, Broward County, Florida",29325,5280
1500000US120110307052,120110307052,"Block Group 2, Census Tract 307.05, Broward County, Florida",26934,3845
1500000US120110308011,120110308011,"Block Group 1, Census Tract 308.01, Broward County, Florida",21366,10909
1500000US120110308012,120110308012,"Block Group 2, Census Tract 308.01, Broward County, Florida",27389,6254
1500000US120110308013,120110308013,"Block Group 3, Census Tract 308.01, Broward County, Florida",24597,15489
1500000US120110308014,120110308014,"Block Group 4, Census Tract 308.01, Broward County, Florida",29787,5526
1500000US120110308021,120110308021,"Block Group 1, Census Tract 308.02, Broward County, Florida",44730,9449
1500000US120110308022,120110308022,"Block Group 2, Census Tract 308.02, Broward County, Florida",40706,3933
1500000US120110308023,120110308023,"Block Group 3, Census Tract 308.02, Broward County, Florida",43681,12287
1500000US120110309021,120110309021,"Block Group 1, Census Tract 309.02, Broward County, Florida",47429,26176
1500000US120110309022,120110309022,"Block Group 2, Census Tract 309.02, Broward County, Florida",85278,43946
1500000US120110309031,120110309031,"Block Group 1, Census Tract 309.03, Broward County, Florida",43352,9177
1500000US120110309032,120110309032,"Block Group 2, Census Tract 309.03, Broward County, Florida",56250,18473
1500000US120110309041,120110309041,"Block Group 1, Census Tract 309.04, Broward County, Florida",48462,14182
1500000US120110309042,120110309042,"Block Group 2, Census Tract 309.04, Broward County, Florida",42405,15408
1500000US120110310012,120110310012,"Block Group 2, Census Tract 310.01, Broward County, Florida",40579,8567
1500000US120110310013,120110310013,"Block Group 3, Census Tract 310.01, Broward County, Florida",42969,12180
1500000US120110310021,120110310021,"Block Group 1, Census Tract 310.02, Broward County, Florida",42094,8826
1500000US120110310022,120110310022,"Block Group 2, Census Tract 310.02, Broward County, Florida",61500,28246
1500000US120110310023,120110310023,"Block Group 3, Census Tract 310.02, Broward County, Florida",42266,9469
1500000US120110311011,120110311011,"Block Group 1, Census Tract 311.01, Broward County, Florida",66111,25505
1500000US120110311012,120110311012,"Block Group 2, Census Tract 311.01, Broward County, Florida",43822,10153
1500000US120110311021,120110311021,"Block Group 1, Census Tract 311.02, Broward County, Florida",30556,3307
1500000US120110311022,120110311022,"Block Group 2, Census Tract 311.02, Broward County, Florida",104028,46105
1500000US120110311023,120110311023,"Block Group 3, Census Tract 311.02, Broward County, Florida",53056,14895
1500000US120110312021,120110312021,"Block Group 1, Census Tract 312.02, Broward County, Florida",55455,9830
